Function,AiryA,(x),Airy function A(x),Special functions,Airy function A(x),,,,289
Function,AiryAD,(x),Derivative Airy function A'(x),Special functions,Derivative Airy function A'(x),,,,289
Function,AiryB,(x),Airy function B(x),Special functions,Airy function A(x),,,,289
Function,AiryBD,(x),Derivative Airy function B'(x),Special functions,Derivative Airy function B'(x),,,,289
Function,BaseChange,"(number, old_base, new_base)  ",Converts a number from one base to another (up to 36).,Arithmetic,Converts a number from one base to another,,,,127
Function,BesseldI,"(x, [n])","First derivative of mod. Bessel functions of 1st kind, order n: I'n(x)",Special functions,First derivative of mod. Bessel functions I'n(x),,,,215
Function,BesseldJ,"(x, [n])","First derivative of Bessel functions of 1st kind, order n: J'n(x)",Special functions,First derivative of Bessel functions J'n(x),,,,215
Function,BesseldK,"(x, [n])","First derivative of mod. Bessel functions of 2nd kind, order n: K'n(x)",Special functions,First derivative of mod. Bessel functions K'n(x),,,,215
Function,BesseldY,"(x, [n])","First derivative of Bessel functions of 2nd kind, order n: Y'n(x)",Special functions,First derivative of Bessel functions Y'n(x),,,,215
Function,BesselIx,"(x, [n])","Modified Bessel function of 1st kind, order n: In(x)",Special functions,Modified Bessel function In(x),,,,215
Function,BesselJx,"(x, [n])","Bessel function of 1st kind, order n: Jn(x)",Special functions,Bessel function Jn(x),,,,215
Function,BesselKx,"(x, [n])","Modified Bessel function of 2nd kind, order n: Kn(x)",Special functions,Modified Bessel function Kn(x),,,,215
Function,BesselSphJ,"(x, [n])",Spherical Bessel function of 1st kind Jn,Special functions,Spherical Bessel function of 1st kind,,,,401
Function,BesselSphY,"(x, [n])",Spherical Bessel function of 2nd kind Yn,Special functions,Spherical Bessel function of 2nd kind,,,,401
Function,BesselYx,"(x, [n])","Bessel function of 2nd kind, order n: Yn(x)",Special functions,Bessel function Yn(x),,,,215
Function,CheckFormula,"(Formula, [Digit_Max], [AngleSet])","Returns 1 x 3 array to 1st cell the formula as used by the Multiprecision MathParser, after stripping of spaces and substitution of symbolic constants.
2nd cell returns the ordered list of variable names.
3rd cell returns error message (if there is one)",Arithmetic,Check Formula as used by Multiprecision MathParser,,,,500
Function,ClogD2str,(x),Returns 10^x (x is a double) as a 15 digit string. The reverse of Cstr2logD,Manipulation,Returns 10^x as a 15 digit string,,,,500
Function,Convol,"(f, g, h, [algo])","convolution integral of two data vectors (fi , gi)","Integrals, Series",Convolution,faltung,,,259
Function,CosIntegral,(x),Cosine integral Ci(x),Special functions,Cosine integral Ci(x),,,,216
Function,cplxAbs,(z),"absolute value of a complex number
 cplxAbs(z)= |z|",Complex,Complex absolute ,,,,57
Function,cplxAcos,(z),Complex Inverse Cosine,Complex,Complex Inverse Cosine,,,,163
Function,cplxAcosh,(z),Complex Inverse Hyperbolic Cosine,Complex,Complex Inverse Hyperbolic Cosine,,,,169
Function,cplxAdd,"(a, b)","Complex addition of two complex numbers:
 cplxAdd(a, b) = a + b ",Complex,Complex addition ,,,,51
Function,cplxAsin,(z),Complex Inverse Sine,Complex,Complex Inverse Sine,,,,164
Function,cplxAsinh,(z),Complex Inverse Hyperbolic Sine,Complex,Complex Inverse Hyperbolic Sine,,,,170
Function,cplxAtan,(z),Complex Inverse Tangent,Complex,Complex Inverse Tangent,,,,165
Function,cplxAtanh,(z),Complex Inverse Hyperbolic Tangent,Complex,Complex Inverse Hyperbolic Tangent,,,,171
Function,cplxConj,(z),Complex conjugate,Complex,Complex conjugate,,,,147
Function,cplxCos,(z),Complex Cosine,Complex,Complex Cosine,,,,158
Function,cplxCosh,(z),Complex Hyperbolic Cosine,Complex,Complex Hyperbolic Cosine,,,,167
Function,cplxDiGamma,(z),Complex diGamma,Complex,Complex diGamma,,,,172
Function,cplxDiv,"(a, b)","Complex division of two complex numbers:
 cplxDiv(a, b) = a / b ",Complex,Complex Division ,,,,54
Function,cplxEi,(z),Complex Exponential Integral,Complex,Complex Exponential Integral,,,,173
Function,cplxEquation2,"(a, b, c, [DgtMax])",Solves a 2nd degree equation with complex coefficients,Complex,Complex equation of 2nd degree,roots,,,148
Function,cplxErf,(z),Complex Error Function,Complex,Complex Error Function,,,,174
Function,cplxErfC,(z),Complex Complem. Error Function,Complex,Complex Complem. Error Function,,,,175
Function,cplxEval,"(Formula, [Var], ...)",Complex evaluator,Complex,Complex evaluator,,,,155
Function,cplxExp,(z),Complex exponential function e^z ,Complex,Complex exponential exp(z),exponential,,,102
Function,cplxFact,(z),Returns the factorial of the complex number z,Statistical,Complex Factorial,,,,500
